participantid_in_session,participantcode,participantlabel,participant_is_bot,participant_index_in_pages,participant_max_page_index,participant_current_app_name,participant_current_page_name,participanttime_started_utc,participantvisited,participantmturk_worker_id,participantmturk_assignment_id,participantpayoff,sessioncode,sessionlabel,sessionmturk_hitid,sessionmturk_hitgroupid,sessioncomment,sessionis_demo,sessionconfigreal_world_currency,sessionconfigparticipation_fee,sessionconfigname,pre1playerid_in_group,pre1playerrole,pre1playerpayoff,pre1playerconsent,pre1playerattention_check_num,pre1playerattention_check_num2,pre1playerattention_check_num3,pre1playerattention_check,pre1playerattention_check2,pre1playerattention_check3,pre1groupid_in_subsession,pre1subsessionround_number,main1playerid_in_group,main1playerrole,main1playerpayoff,main1playerstated_amount,main1playerthreshold_integer,main1playerbriefing_correct_amou,main1playerbriefing_1,main1playerbriefing_2,main1playerbriefing_3,main1playerbriefing_4,main1playerbriefing_5,main1playerbriefing_6,main1playerbriefing_7,main1playerbriefing_8,main1playerbriefing_9,main1playerbriefing_10,main1playerbriefing_11,main1playerbriefing_12,main1playerbriefing_13,main1playerbriefing_14,main1playerbriefing_15,main1playermisreport_reason,main1playeraccept_next_experimen,main1playerprefer,main1playerpainter,main1playerq1,main1playerq2,main1playerq3,main1playerq4,main1playerq5,main1playerq6,main1playerq7,main1playerq8,main1playerq9,main1playerq10,main1playerq11,main1playerq12,main1playercomp1,main1playercomp2,main1playercomp3,main1playercomp4,main1playercomp5,main1playercomp6,main1playercomp7,main1playerdictator_keep,main1playerage,main1playergender,main1playereducation,main1playerincome,main1playeremployment,main1playeroccupation,main1groupid_in_subsession,main1subsessionround_number,end1playerid_in_group,end1playerrole,end1playerpayoff,end1groupid_in_subsession,end1subsessionround_number,end21playerid_in_group,end21playerrole,end21playerpayoff,end21groupid_in_subsession,end21subsessionround_number,treat8,treat10,treat12
3,95827j7h,,0,24,25,end,End,2025-04-11 12:15:12.762432,1,,,2.5,gixfpzmu,,,,,0,1,0,main,3,,0,1,99,29,78,99,,,1,1,3,,2.5,15,12,7,2,1,3,1,3,3,3,5,6,3,6,2,7,7,1,for the chance at a higher bonus,,Right,,1,2,2,5,3,3,4,4,3,1,4,4,4,1,4,5,2,5,5,10,34,Male,High School or equivalent,"$25,000 - $49,999",Full-time employed,Retail/Sales,1,1,3,,0,1,1,3,,0,1,1,0,0,1
6,v7r4tlzb,,0,24,25,end,End,2025-04-11 12:15:43.681065,1,,,2,gixfpzmu,,,,,0,1,0,main,6,,0,1,58,33,3,58,,,1,1,6,,2,12,10,7,2,3,3,1,3,3,3,4,6,3,8,8,8,8,8,Because I'm allowed to,,Left,,5,4,3,4,5,3,4,2,4,2,5,4,5,3,2,2,3,4,4,6,36,Male,College Graduate (4 years),"$100,000 - $149,999",Full-time employed,Finance/Banking,1,1,6,,0,1,1,6,,0,1,1,0,1,0
10,koe76c31,,0,24,25,end,End,2025-04-11 12:18:04.451963,1,,,2,gixfpzmu,,,,,0,1,0,main,10,,0,1,48,86,75,48,,,1,1,10,,2,12,10,7,2,2,3,1,3,5,3,2,3,4,1,6,5,8,8,I wanted to get a bonus. Went a little above 10 so it didn't seem too high. I don't want to get flagged.,,Right,,5,4,2,3,3,4,3,2,4,2,3,3,2,3,2,2,1,1,1,5.5,41,Female,Master's Degree (MA),"$150,000 or more",Part-time employed,Healthcare,1,1,10,,0,1,1,10,,0,1,1,0,1,0
18,ikre7cid,,0,24,25,end,End,2025-04-11 12:21:23.396809,1,,,3,gixfpzmu,,,,,0,1,0,main,18,,0,1,50,1,43,50,,,1,1,18,,3,14,10,6,3,1,3,1,3,3,3,4,7,8,8,8,8,8,8,In order to receive a bonus you had to report more then 10 it seemed.,,Right,,4,5,3,3,4,3,1,3,3,5,4,3,5,3,4,3,3,3,2,10,38,Female,College Graduate (4 years),"$50,000 - $74,999",Unemployed,Other,1,1,18,,0,1,1,18,,0,1,1,0,1,0
33,iuuirwwn,,0,24,25,end,End,2025-04-11 12:28:46.557299,1,,,1.5,gixfpzmu,,,,,0,1,0,main,33,,0,1,10,41,41,10,,,1,1,33,,1.5,9,8,4,2,4,3,1,4,1,3,2,3,2,8,8,8,8,8,I get the bonus of fifty cents,,Left,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,30,Male,High School or equivalent,"Less than $25,000",Self-employed,Construction/Trades,1,1,33,,0,1,1,33,,0,1,1,1,0,0
39,4knygtlt,,0,24,25,end,End,2025-04-11 12:29:07.213829,1,,,1.5,gixfpzmu,,,,,0,1,0,main,39,,0,1,35,32,64,35,,,1,1,39,,1.5,13,12,8,2,3,3,1,3,3,3,4,6,4,1,6,8,8,8,Because I answered 13 questions correctly.,,Right,,3,5,4,2,1,3,3,4,2,4,5,3,2,2,5,5,4,5,2,9,33,Male,Master's Degree (MA),"$150,000 or more",Full-time employed,Other,1,1,39,,0,1,1,39,,0,1,1,0,0,1
46,e41kr5v6,,0,24,25,end,End,2025-04-11 12:31:44.338731,1,,,2.5,gixfpzmu,,,,,0,1,0,main,46,,0,1,39,30,29,39,,,1,1,46,,2.5,13,10,4,2,2,3,1,3,3,8,8,8,8,8,8,8,8,8,It is a unique score.,,Right,,4,5,1,4,3,5,5,2,5,3,5,5,4,3,4,5,5,5,4,5,51,Male,College Graduate (4 years),"$50,000 - $74,999",Full-time employed,Healthcare,1,1,46,,0,1,1,46,,0,1,1,0,1,0
54,bc56c7pb,,0,24,25,end,End,2025-04-11 12:34:35.209537,1,,,3,gixfpzmu,,,,,0,1,0,main,54,,0,1,91,28,80,91,,,1,1,54,,3,14,10,4,3,1,3,1,3,1,5,7,8,2,8,8,8,8,8,"I reported my score as 14 because I felt confident during the task and believed I performed well. While I may not have gotten every answer right, I aimed to give my best effort and felt that a high score reflected my overall performance.  ",,Right,,5,5,2,5,5,5,5,4,4,1,4,5,5,5,3,5,5,5,5,6,37,Male,College Graduate (4 years),"$75,000 - $99,999",Full-time employed,Technology/IT,1,1,54,,0,1,1,54,,0,1,1,0,1,0
58,ckrzpo2g,,0,23,25,main,Code,2025-04-11 12:34:45.100042,1,,,2,gixfpzmu,,,,,0,1,0,main,58,,0,1,56,70,0,56,,,1,1,58,,2,12,10,5,2,3,3,2,3,3,5,4,6,2,8,8,8,8,8,It was a number I just thought of,,Right,,5,5,1,5,3,5,2,1,5,3,3,5,2,4,2,3,3,3,3,5,46,Male,Some College,"$25,000 - $49,999",Unemployed,Other,1,1,58,,0,1,1,58,,0,1,1,0,1,0
65,khyt66if,,0,24,25,end,End,2025-04-11 12:36:44.093599,1,,,3,gixfpzmu,,,,,0,1,0,main,65,,0,1,57,37,75,57,,,1,1,65,,3,15,8,6,2,1,3,1,3,3,3,2,8,8,8,8,8,8,8,Accident ,,Right,,5,5,3,5,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,30,Female,Vocational/Technical School (2 years),"Less than $25,000",Unable to work,Other,1,1,65,,0,1,1,65,,0,1,1,1,0,0
